lineHeight
24
id,x,y,w,h,offx,offy,advx
32,172,36,3,1,-1,23,7
33,0,89,2,15,2,4,5
34,11,117,5,5,1,4,7
35,167,54,11,15,2,4,14
36,62,0,13,19,0,2,14
37,0,41,17,15,0,4,18
38,66,39,15,15,1,4,16
39,17,115,2,5,1,4,4
40,59,20,4,18,1,4,6
41,64,20,4,18,1,4,6
42,237,97,9,8,2,4,14
43,88,102,10,10,1,9,12
44,38,115,2,4,2,17,7
45,70,113,6,2,0,13,5
46,84,113,2,2,2,17,7
47,94,20,14,17,1,4,15
48,225,36,13,15,0,4,14
49,231,68,7,15,2,4,14
50,143,54,11,15,1,4,14
51,239,52,11,15,1,4,14
52,26,55,12,15,1,4,14
53,215,52,11,15,1,4,14
54,227,52,11,15,1,4,14
55,203,52,11,15,1,4,14
56,179,54,11,15,1,4,14
57,104,54,12,15,1,4,14
58,252,84,2,10,2,9,7
59,248,84,3,12,1,9,7
60,66,102,10,10,1,9,12
61,0,117,10,5,1,11,12
62,77,102,10,10,1,9,12
63,34,71,10,15,1,4,12
64,18,39,15,15,2,4,20
65,82,38,14,15,0,4,14
66,117,54,12,15,1,4,14
67,130,54,12,15,1,4,13
68,141,38,13,15,1,4,15
69,23,73,10,15,1,4,11
70,186,70,9,15,1,4,11
71,13,57,12,15,1,4,14
72,127,38,13,15,1,4,15
73,253,68,2,15,1,4,5
74,45,71,10,15,0,4,11
75,0,57,12,15,1,4,14
76,96,70,9,15,1,4,11
77,216,20,17,15,1,4,19
78,155,38,13,15,1,4,16
79,39,55,12,15,1,4,13
80,0,73,11,15,1,4,13
81,97,38,14,15,1,4,15
82,52,55,12,15,1,4,14
83,191,52,11,15,1,4,13
84,65,55,12,15,0,4,12
85,78,55,12,15,1,4,15
86,183,36,13,15,0,4,13
87,172,20,22,15,0,4,22
88,197,36,13,15,0,4,13
89,211,36,13,15,0,4,13
90,91,54,12,15,0,4,13
91,69,20,4,18,1,4,6
92,156,20,8,17,-1,4,6
93,74,20,4,18,1,4,6
94,99,102,10,10,1,4,12
95,5,39,10,1,0,20,10
96,65,113,4,3,1,4,7
97,190,100,9,10,1,9,11
98,56,71,9,15,1,4,11
99,110,101,9,10,1,9,11
100,66,71,9,15,1,4,11
101,160,101,9,10,1,9,11
102,215,68,7,15,0,4,6
103,114,86,9,14,1,9,11
104,76,71,9,15,1,4,12
105,253,34,2,15,1,4,4
106,247,0,4,19,-1,4,4
107,86,71,9,15,1,4,10
108,252,18,2,15,1,4,4
109,33,104,16,10,1,9,18
110,180,100,9,10,1,9,12
111,170,100,9,10,1,9,11
112,144,86,9,14,1,9,11
113,154,86,9,14,1,9,12
114,209,98,8,10,1,9,9
115,140,101,9,10,1,9,11
116,204,84,8,13,-1,6,7
117,130,101,9,10,1,9,11
118,150,101,9,10,0,9,9
119,50,102,15,10,0,9,15
120,120,101,9,10,0,9,9
121,24,89,9,14,0,9,9
122,200,100,8,10,0,9,9
